,series
13,10.187966701099125
1294,10.285461122475176
585,11.737306010891047
644,10.084808608996498
512,10.704189639316835
604,10.11759843181949
769,9.672654512737537
789,10.868202667404223
91,10.510802297245792
509,11.02220830408089
322,10.97315700921406
913,10.902128245864017
331,10.82462730886559
724,11.182294337407903
546,10.641244744014543
674,10.525211768465944
53,10.981350045485636
299,11.267217235406594
484,10.312386757378574
3,11.814475944954545
990,11.529371878240365
1138,11.758368289071829
256,10.075655737865565
48,10.435465480609668
1123,10.236346354272076
528,10.34717287346399
215,10.812765077263235
368,10.776844060703754
534,11.383485348791732
650,11.912578515747587
72,10.744054237880762
257,10.94064137183354
1033,11.061462490597744
2,10.329931067029484
1189,11.838443060873624
952,11.261752740934515
1015,11.07393666482292
241,11.018720942220474
744,12.076935697460716
1243,11.470547260182666
1268,9.317895278196945
441,10.594300009749354
1283,10.5552565839505
1263,9.641987714344566
616,10.319441460358465
776,11.74620626036131
671,10.682362236272313
479,11.39733681987678
659,12.029883488676532
596,11.588886005772773
725,10.169762314876662
1011,11.314449160071012
426,11.016447617817454
73,10.974070668482735
117,11.005825930702713
435,11.410999046046685
1165,11.2874471903093
1018,11.282092425171639
1193,11.034319178750797
367,10.671359943290625
5,9.967025573340116
1218,11.123906770132201
745,9.77465368069266
998,11.470547260182666
930,9.708902303129879
1081,12.05888963501851
330,11.064804181259648
939,11.89782208458538
935,11.395540949893968
11,9.819076457336159
835,11.903833710189655
332,11.171498252707703
963,11.465531925066934
553,10.274785970374204
1251,9.964522443121997
54,9.92620357881986
663,10.265276597141131
233,10.73132994821639
84,9.954446791133256
686,10.393289544363068
64,10.51225262382344
187,10.633572072102883
875,11.408044834149253
151,10.776844060703754
996,11.18267988243989
587,11.397934727218958
388,11.641782951894859
137,10.81931097523836
172,9.708902303129879
530,11.98617622657084
1172,9.88635767027266
455,10.147261623643049
1024,10.928710232504155
1223,11.421778496562451
374,10.742915658911176
560,9.83063294843456
160,9.974497588178817
50,9.740752129016979
997,9.915732278952564
892,11.413356147904066
32,10.060060439307305
238,12.241725462844625
589,11.454295851800008
354,11.221929106334594
1020,10.655147649183533
486,11.732612168264147
801,10.977716980635755
1278,9.913097231314559
1205,10.765658261746038
295,11.144911042902732
833,11.053902605789805
474,11.144911042902732
577,11.862769612046066
472,11.12626248382466
777,10.430759589572256
602,9.771618776997505
797,10.672595273898619
694,10.855945108418139
959,9.93914036985058
862,11.134075023561454
921,11.143362500418624
755,11.064804181259648
550,10.188167121983652
308,10.683645110085203
1266,10.285461122475176
1057,10.082583913974387
1108,9.962013031516571
433,11.777361428141106
1271,11.288114524334732
872,11.211180167298883
1040,10.717261720884188
826,11.189329334350775
576,11.50657735831005
567,10.580858947180335
492,11.18342089766461
385,11.708368556654154
281,10.034684221813931
894,11.857498515504203
483,9.49261223560568
282,10.695781181367428
437,11.671319016786894
638,11.44716312967751
548,9.959497306919324
641,10.231119110983279
1074,11.421848531521597
612,10.071160338072124
867,11.551145677789926
719,11.065637862008225
1247,11.727036344253591
1100,11.010081106005767
1239,11.288114524334732
121,11.690461589827628
1038,10.944364366779205
940,11.219074000897615
16,10.588945244611693
1287,10.614128815398654
1013,11.518415853167008
1168,9.493013922696841
798,11.18267988243989
752,10.336863503805128
293,11.487085674623
679,11.144911042902732
1235,10.14517175872359
106,10.003598553570956
23,10.683645110085203
69,10.830969824842061
765,10.460196261867386
1010,10.830969824842061
1037,11.428543355697593
840,11.470547260182666
103,10.99575173454406
555,9.387207078087174
1115,11.204674904025435
924,11.484896292248726
1109,11.175239371923306
1229,11.02220830408089
74,9.93914036985058
507,10.393925962168344
1181,10.698190821087582
218,11.02220830408089
1156,11.283969856325212
866,10.974070668482735
265,10.658921971998408
709,10.460211528926417
653,11.058781074545012
434,11.778996083184301
110,11.116014069333293
854,10.643789274649537
40,9.93914036985058
812,11.288114524334732
276,10.977716980635755
339,11.016753943443987
1292,9.913097231314559
640,10.9867750135825
185,11.320925866649002
852,10.738290533164013
908,10.646327347078008
1157,11.715790550995315
61,10.754345923917311
578,11.887251546940472
763,11.004648590381796
387,11.197396851520583
127,9.603146168052769
